,objectid,학명,국명,lon,lat,조사일자,조사년도,시도명
1127,42565,"Hydropotes inermis Swinhoe, 1870",고라니,127.978133,36.84515,2018-06-09,2018,충청북도
1128,41667,"Hydropotes inermis Swinhoe, 1870",고라니,128.528447,37.074572,2018-11-15,2018,충청북도
1129,39235,"Hydropotes inermis Swinhoe, 1870",고라니,128.298715,37.547616,2018-10-13,2018,강원도
1130,36053,"Hydropotes inermis Swinhoe, 1870",고라니,127.638648,35.96042,2018-05-14,2018,전라북도
1131,35599,"Hydropotes inermis Swinhoe, 1870",고라니,128.449444,37.975472,2018-09-18,2018,강원도
1132,35806,"Hydropotes inermis Swinhoe, 1870",고라니,129.141889,35.460389,2018-07-05,2018,울산광역시
1133,36583,"Hydropotes inermis Swinhoe, 1870",고라니,126.485026,34.573769,2018-07-30,2018,전라남도
1134,36056,"Hydropotes inermis Swinhoe, 1870",고라니,127.639434,35.956891,2018-05-14,2018,전라북도
1135,41509,"Hydropotes inermis Swinhoe, 1870",고라니,129.314514,36.518369,2018-08-30,2018,경상북도
1136,39398,"Hydropotes inermis Swinhoe, 1870",고라니,126.53,35.265556,2018-07-27,2018,전라남도
1137,42542,"Hydropotes inermis Swinhoe, 1870",고라니,128.017511,36.901886,2018-09-16,2018,충청북도
1138,36081,"Hydropotes inermis Swinhoe, 1870",고라니,127.537407,35.969078,2018-05-24,2018,전라북도
1139,36090,"Hydropotes inermis Swinhoe, 1870",고라니,127.539063,35.965753,2018-05-24,2018,전라북도
1140,37727,"Hydropotes inermis Swinhoe, 1870",고라니,126.224111,37.7205,2018-10-21,2018,인천광역시
1141,37235,"Hydropotes inermis Swinhoe, 1870",고라니,126.952139,34.492955,2018-09-01,2018,전라남도
1142,39394,"Hydropotes inermis Swinhoe, 1870",고라니,126.659556,35.265889,2018-10-14,2018,전라남도
1143,41575,"Hydropotes inermis Swinhoe, 1870",고라니,129.243744,36.593586,2018-04-18,2018,경상북도
1144,38209,"Hydropotes inermis Swinhoe, 1870",고라니,127.445697,35.555203,2018-07-31,2018,전라북도
1145,39448,"Hydropotes inermis Swinhoe, 1870",고라니,129.119142,36.493808,2018-05-23,2018,경상북도
1146,41288,"Hydropotes inermis Swinhoe, 1870",고라니,128.284285,37.689809,2018-11-01,2018,강원도
1147,41739,"Hydropotes inermis Swinhoe, 1870",고라니,129.035811,36.683853,2018-06-21,2018,경상북도
1148,41502,"Hydropotes inermis Swinhoe, 1870",고라니,129.334436,36.521228,2018-08-30,2018,경상북도
1149,39237,"Hydropotes inermis Swinhoe, 1870",고라니,128.298931,37.548114,2018-10-13,2018,강원도
1150,41721,"Hydropotes inermis Swinhoe, 1870",고라니,127.717861,35.179611,2018-04-20,2018,경상남도
1151,42986,"Hydropotes inermis Swinhoe, 1870",고라니,128.826806,35.941667,2018-09-29,2018,경상북도
1152,41293,"Hydropotes inermis Swinhoe, 1870",고라니,128.318519,37.707353,2018-08-04,2018,강원도
1153,39438,"Hydropotes inermis Swinhoe, 1870",고라니,129.119522,36.493769,2018-05-23,2018,경상북도
1154,36169,"Hydropotes inermis Swinhoe, 1870",고라니,127.546275,35.958886,2018-05-24,2018,전라북도
1155,36183,"Hydropotes inermis Swinhoe, 1870",고라니,127.548571,35.953604,2018-05-24,2018,전라북도
1156,35515,"Hydropotes inermis Swinhoe, 1870",고라니,127.176426,34.477176,2018-05-07,2018,전라남도
1157,36194,"Hydropotes inermis Swinhoe, 1870",고라니,127.588711,35.964776,2018-05-23,2018,전라북도
1158,43334,"Hydropotes inermis Swinhoe, 1870",고라니,128.658437,37.690833,2018-11-21,2018,강원도
1159,36211,"Hydropotes inermis Swinhoe, 1870",고라니,127.640122,35.947678,2018-05-16,2018,전라북도
1160,43022,"Hydropotes inermis Swinhoe, 1870",고라니,128.717333,35.900333,2018-11-28,2018,대구광역시
1161,39160,"Hydropotes inermis Swinhoe, 1870",고라니,128.94265,35.112344,2018-03-25,2018,부산광역시
1162,39050,"Hydropotes inermis Swinhoe, 1870",고라니,129.408983,36.697744,2018-11-24,2018,경상북도
1163,41638,"Hydropotes inermis Swinhoe, 1870",고라니,128.232133,36.300506,2018-05-13,2018,경상북도
1164,38439,"Hydropotes inermis Swinhoe, 1870",고라니,128.558611,35.78275,2018-09-28,2018,대구광역시
1165,36858,"Hydropotes inermis Swinhoe, 1870",고라니,126.308355,34.538411,2018-09-14,2018,전라남도
1166,37757,"Hydropotes inermis Swinhoe, 1870",고라니,127.814361,36.349111,2018-11-20,2018,충청북도
1167,36852,"Hydropotes inermis Swinhoe, 1870",고라니,126.305476,34.551397,2018-09-02,2018,전라남도
1168,41809,"Hydropotes inermis Swinhoe, 1870",고라니,129.037567,36.652194,2018-11-13,2018,경상북도
1169,35656,"Hydropotes inermis Swinhoe, 1870",고라니,128.454611,37.171667,2018-11-25,2018,강원도
1170,41497,"Hydropotes inermis Swinhoe, 1870",고라니,129.363147,36.534294,2018-08-30,2018,경상북도
1171,38448,"Hydropotes inermis Swinhoe, 1870",고라니,128.59,35.809028,2018-08-04,2018,대구광역시
1172,35501,"Hydropotes inermis Swinhoe, 1870",고라니,127.122088,34.443375,2018-09-23,2018,전라남도
1173,38211,"Hydropotes inermis Swinhoe, 1870",고라니,127.414917,35.456422,2018-04-03,2018,전라북도
1174,41786,"Hydropotes inermis Swinhoe, 1870",고라니,129.089889,36.672092,2018-11-12,2018,경상북도
1175,35500,"Hydropotes inermis Swinhoe, 1870",고라니,127.121428,34.443568,2018-09-23,2018,전라남도
1176,38291,"Hydropotes inermis Swinhoe, 1870",고라니,129.108611,35.278222,2018-06-19,2018,부산광역시
1177,35651,"Hydropotes inermis Swinhoe, 1870",고라니,128.466722,37.226583,2018-08-30,2018,강원도
1178,37631,"Hydropotes inermis Swinhoe, 1870",고라니,127.942194,37.134056,2018-08-07,2018,충청북도
1179,41632,"Hydropotes inermis Swinhoe, 1870",고라니,128.240581,36.302869,2018-05-13,2018,경상북도
1180,39187,"Hydropotes inermis Swinhoe, 1870",고라니,126.1425,34.751389,2018-05-17,2018,전라남도
1181,42122,"Hydropotes inermis Swinhoe, 1870",고라니,128.760139,36.107306,2018-11-01,2018,경상북도
1182,39464,"Hydropotes inermis Swinhoe, 1870",고라니,129.191283,36.483614,2018-11-13,2018,경상북도
1183,37728,"Hydropotes inermis Swinhoe, 1870",고라니,126.208056,37.663639,2018-10-20,2018,인천광역시
1184,43635,"Hydropotes inermis Swinhoe, 1870",고라니,128.904008,36.435317,2018-05-04,2018,경상북도
1185,41481,"Hydropotes inermis Swinhoe, 1870",고라니,129.311906,36.567892,2018-04-12,2018,경상북도
1186,37812,"Hydropotes inermis Swinhoe, 1870",고라니,128.407028,37.582694,2018-10-09,2018,강원도
1187,36174,"Hydropotes inermis Swinhoe, 1870",고라니,127.546575,35.957374,2018-05-24,2018,전라북도
1188,41472,"Hydropotes inermis Swinhoe, 1870",고라니,129.219128,36.467886,2018-11-07,2018,경상북도
1189,38293,"Hydropotes inermis Swinhoe, 1870",고라니,129.109528,35.276278,2018-06-19,2018,부산광역시
1190,35623,"Hydropotes inermis Swinhoe, 1870",고라니,128.296917,38.025361,2018-03-31,2018,강원도
1191,39031,"Hydropotes inermis Swinhoe, 1870",고라니,129.407342,36.720311,2018-08-09,2018,경상북도
1192,1032,"Hydropotes inermis Swinhoe, 1870",고라니,127.944464,37.801223,2018-04-09,2018,강원도
1193,37868,"Hydropotes inermis Swinhoe, 1870",고라니,128.900944,36.633333,2018-08-11,2018,경상북도
1194,1034,"Hydropotes inermis Swinhoe, 1870",고라니,127.973335,37.769131,2018-04-09,2018,강원도
1195,37034,"Hydropotes inermis Swinhoe, 1870",고라니,128.685475,37.192794,2018-11-09,2018,강원도
1196,41665,"Hydropotes inermis Swinhoe, 1870",고라니,128.527264,37.074675,2018-11-15,2018,충청북도
1197,39218,"Hydropotes inermis Swinhoe, 1870",고라니,128.300124,37.543831,2018-10-13,2018,강원도
1198,35330,"Hydropotes inermis Swinhoe, 1870",고라니,129.339912,37.154162,2018-04-25,2018,강원도
1199,40196,"Hydropotes inermis Swinhoe, 1870",고라니,128.676975,36.064742,2018-09-30,2018,경상북도
